event_type,cluster,n_event_days,n_non_event_days,mean_event,mean_non_event,uplift_abs,uplift_pct,cohens_d,welch_t_pvalue,mean_diff_ci95_low,mean_diff_ci95_high,fdr_qvalue,significant_fdr_0_05,actionable_positive_flag
holiday,16,178,1391,9320.974553140362,8330.674486304255,990.3000668361074,11.887393613376377,0.2873153539033448,0.0049426650085018994,359.27496758292057,1626.714559107858,0.014004217524088716,True,True
holiday,6,192,1487,74818.16670735677,67175.00988121008,7643.156826146689,11.377976482121221,0.26034876547337543,0.002523047656761143,3142.167509521164,12610.304652292758,0.010722952541234858,True,True
holiday,12,192,1485,11784.408480326334,10618.425465922242,1165.9830144040916,10.980752449090364,0.2657677322255652,0.0018947383200680595,426.71895588152404,1946.5384730209976,0.010722952541234858,True,True
holiday,13,192,1487,46988.745768229164,42411.81676876681,4576.928999462354,10.791636265940218,0.27317224332749973,0.003671856374218594,1698.1261972076352,7739.888708035009,0.012484311672343219,True,True
holiday,14,192,1487,102286.2129720052,92664.12594832297,9622.087023682237,10.38383184993111,0.2463199991856397,0.001421299516698329,3634.808593151746,15553.328731645799,0.010722952541234858,True,True
holiday,5,192,1487,40157.45415242513,36568.46877035873,3588.9853820663993,9.814426205823306,0.24671039508151826,0.001827454502615585,1459.4249784211777,6007.764318012208,0.010722952541234858,True,True
holiday,11,192,1487,64952.63957722982,59275.96717252648,5676.672404703342,9.576684574679355,0.21069741984934107,0.007353074400092987,1570.035375267498,9654.116551303412,0.017857466400225824,True,True
holiday,7,188,1453,10091.972473144531,9346.751316813543,745.2211563309884,7.973050004983403,0.1639790633929783,0.053348298520863445,25.463731717401565,1526.613822754642,0.06478007677533418,False,False
holiday,10,193,1487,54175.862510878804,50347.286513717845,3828.5759971609587,7.604334339086591,0.1704491727543746,0.031262703795395946,511.5435295308837,7258.566453355202,0.04592628047620532,True,True
holiday,17,192,1487,20769.265820821125,19451.099867142842,1318.1659536782827,6.776819628102126,0.20764981201250526,0.010240628658353701,359.1931790274708,2312.501599035579,0.021761335899001616,True,True
holiday,8,192,1487,67718.54194132487,63835.4375157616,3883.1044255632733,6.082991793710971,0.1717319309040234,0.03241855092438023,493.2395139735684,7745.40170852979,0.04592628047620532,True,True
holiday,15,192,1487,34548.79108174642,32725.97815770532,1822.8129240411,5.569926482432487,0.2032679404189483,0.012448511531647792,432.28127111029926,3165.4379710833846,0.02351385511533472,True,True
holiday,9,192,1487,19087.38397216797,18087.625655091524,999.7583170764447,5.527305441524441,0.17467081982449117,0.023642242988502173,157.50285072506114,1798.4450164522966,0.04019181308045369,True,True
holiday,3,192,1487,47049.40419514974,44784.79001476336,2264.6141803863793,5.05665914619639,0.15721610335211336,0.0469973624699117,29.726603762865132,4359.746350987667,0.06145808938373069,False,False
holiday,4,192,1487,30490.886016845703,29312.091518420057,1178.7944984256465,4.021529810265768,0.1196006574310352,0.10427450926688503,-215.449149254099,2505.5633696940254,0.11817777716913637,False,False
holiday,2,192,1487,17662.105290730793,17165.082398199764,497.02289253102936,2.8955462082905936,0.05726858912524181,0.4637442224612885,-763.7757350829688,1785.257923168802,0.49272823636511903,False,False
holiday,1,196,1488,32698.875634018255,32236.402123564032,462.4735104542233,1.434631286337523,0.03829974667961049,0.634780253270219,-1550.9734943543092,2430.402883318126,0.634780253270219,False,False
promotion,2,1149,530,21085.516773247116,8845.930131098909,12239.586642148208,138.36404381172423,1.8676784363147656,4.00359498730586e-310,11728.916383553875,12736.505554378873,6.806111478419964e-309,True,True
promotion,10,1212,468,59187.61846863397,29031.972065200152,30155.646403433817,103.87047196005187,1.67778119595114,1.0670666778680478e-233,28606.665335719987,31600.157995939127,6.046711174585604e-233,True,True
promotion,11,1142,537,71238.14955088387,35866.486400867085,35371.663150016786,98.62037433686748,1.6552430151509046,4.105678814548134e-219,33662.62795737942,37127.707560830706,1.3959307969463655e-218,True,True
promotion,13,1199,480,49983.24163039512,25329.80001627604,24653.441614119078,97.32979177994949,1.9575239048192836,9.108217564375396e-298,23660.69602115388,25699.130158945973,7.741984929719086e-297,True,True
promotion,7,1109,532,11226.81408768457,5690.94673879523,5535.86734888934,97.27498082439057,1.480185982792502,7.020025131946802e-217,5236.42405605863,5817.600524099497,1.7048632463299377e-216,True,True
promotion,6,1226,453,77843.93389006423,41540.098790183496,36303.83509988074,87.39467684766277,1.472536574599499,7.953907175472442e-225,34429.42232797344,38142.45958814136,3.380410549575788e-224,True,True
promotion,12,1156,521,12445.0546355462,6995.172910606106,5449.881724940094,77.90917815165032,1.5105106910751636,4.956205554255686e-218,5159.891069879704,5739.30222162322,1.4042582403724444e-217,True,True
promotion,8,1185,494,73198.71548490242,42884.165564903844,30314.54991999858,70.68937805054982,1.6900244838087866,5.076666030428318e-195,28547.06110831652,31886.65073157149,1.0787915314660176e-194,True,True
promotion,1,1151,533,37043.00894687364,22026.721737859843,15016.287209013797,68.17304630131859,1.5247356802546075,1.1918822097455278e-170,14063.927932124938,15937.469300022596,2.0261997565673973e-170,True,True
promotion,5,1135,544,42360.7789750826,25750.110518511603,16610.668456570995,64.5071734532156,1.3454117401335417,1.1802417679561305e-141,15306.791793128865,17708.439221972854,1.5433930811734017e-141,True,True
promotion,16,1070,499,9610.244229382666,5940.161033003507,3670.083196379159,61.78423743040287,1.2197326899576495,2.746696635711776e-131,3409.268600863346,3935.3548656653743,3.1129228538066796e-131,True,True
promotion,3,1178,501,50720.44606523238,31696.17343827969,19024.272626952694,60.020723523606634,1.6549213691151474,8.493806485232136e-188,17905.214447281207,20059.00184417954,1.6043856694327368e-187,True,True
promotion,14,1149,530,105398.77552831266,68542.1039504717,36856.671577840956,53.77230848424709,1.0460102001969374,4.353504209287703e-94,33690.301913577874,40013.31132475625,4.353504209287703e-94,True,True
promotion,4,1184,495,32743.057441505225,21562.72766137942,11180.329780125805,51.85025733154657,1.3243932047667728,1.4762328370772285e-120,10354.215097357825,11982.893377684175,1.5684973893945552e-120,True,True
promotion,17,1115,564,22107.226600161153,14648.80652634641,7458.420073814743,50.91486504651763,1.4082641171697738,1.6267717494002297e-148,6963.116161700805,7975.844346368449,2.3045933116503253e-148,True,True
promotion,9,1183,496,20125.690360345783,13613.680192516696,6512.010167829087,47.83431133786053,1.3285778566025985,8.107595466007432e-135,6072.539049600826,6944.240329624225,9.844937351580453e-135,True,True
promotion,15,1179,500,36193.30116723653,25249.9906640625,10943.31050317403,43.339859601410836,1.4665423972033815,7.998912574815538e-158,10229.245504308512,11576.843993807981,1.2361955797442194e-157,True,True
